customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_flag,monthly_revenue,annualized_revenue,revenue_at_risk,tenure_band,charge_band,cohort_month
CUST-100000,Male,0,No,No,7,Yes,DSL,Month-to-month,Yes,Credit card (automatic),83.4,581.13,Yes,1,83.4,1000.8000000000001,83.4,0-12m,Premium,Recent
CUST-100001,Male,0,No,No,56,Yes,DSL,One year,Yes,Bank transfer (automatic),18.0,1049.49,No,0,18.0,216.0,0.0,49-72m,Low,Loyal
CUST-100002,Male,0,Yes,No,48,Yes,Fiber optic,Two year,No,Mailed check,81.26,3876.24,No,0,81.26,975.1200000000001,0.0,25-48m,Premium,Established
CUST-100003,Male,0,Yes,No,32,Yes,Fiber optic,Two year,Yes,Electronic check,57.41,1805.07,No,0,57.41,688.92,0.0,25-48m,Mid,Established
CUST-100004,Female,0,No,No,32,Yes,DSL,Month-to-month,Yes,Electronic check,44.88,1416.77,Yes,1,44.88,538.5600000000001,44.88,25-48m,Low,Established
CUST-100005,Female,0,Yes,No,62,Yes,DSL,Month-to-month,Yes,Electronic check,61.91,3859.55,No,0,61.91,742.92,0.0,49-72m,Mid,Loyal
CUST-100006,Female,0,No,Yes,7,No,No,Two year,Yes,Mailed check,18.0,122.93,Yes,1,18.0,216.0,18.0,0-12m,Low,Recent
CUST-100007,Male,1,No,No,51,Yes,No,Two year,No,Credit card (automatic),18.0,852.72,No,0,18.0,216.0,0.0,49-72m,Low,Loyal
CUST-100008,Male,0,No,No,15,Yes,DSL,Month-to-month,Yes,Electronic check,27.35,353.84,No,0,27.35,328.20000000000005,0.0,13-24m,Low,Developing
CUST-100009,Female,0,Yes,No,7,Yes,DSL,One year,No,Bank transfer (automatic),86.07,608.64,Yes,1,86.07,1032.84,86.07,0-12m,Premium,Recent
CUST-100010,Female,0,Yes,Yes,38,Yes,DSL,Month-to-month,No,Mailed check,57.69,2199.87,Yes,1,57.69,692.28,57.69,25-48m,Mid,Established
CUST-100011,Male,0,No,Yes,71,Yes,DSL,Month-to-month,Yes,Electronic check,61.39,4359.93,No,0,61.39,736.6800000000001,0.0,49-72m,Mid,Loyal
CUST-100012,Male,0,Yes,No,53,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),88.59,4674.09,No,0,88.59,1063.08,0.0,49-72m,Premium,Loyal
CUST-100013,Female,0,No,Yes,55,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),71.23,3953.09,Yes,1,71.23,854.76,71.23,49-72m,High,Loyal
CUST-100014,Male,0,Yes,Yes,52,Yes,DSL,Month-to-month,Yes,Credit card (automatic),35.69,1872.48,No,0,35.69,428.28,0.0,49-72m,Low,Loyal
CUST-100015,Male,1,Yes,No,57,Yes,DSL,Two year,Yes,Bank transfer (automatic),76.8,4392.67,No,0,76.8,921.5999999999999,0.0,49-72m,High,Loyal
CUST-100016,Male,0,Yes,No,37,Yes,No,Month-to-month,Yes,Mailed check,74.64,2778.35,No,0,74.64,895.6800000000001,0.0,25-48m,High,Established
CUST-100017,Male,1,Yes,Yes,10,Yes,DSL,Month-to-month,Yes,Credit card (automatic),81.07,882.58,No,0,81.07,972.8399999999999,0.0,0-12m,Premium,Recent
CUST-100018,Male,0,No,Yes,61,Yes,Fiber optic,Month-to-month,Yes,Electronic check,50.97,3063.08,Yes,1,50.97,611.64,50.97,49-72m,Mid,Loyal
CUST-100019,Male,0,No,No,33,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),37.6,1221.85,No,0,37.6,451.20000000000005,0.0,25-48m,Low,Established
CUST-100020,Male,1,No,No,37,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),50.17,1841.15,No,0,50.17,602.04,0.0,25-48m,Mid,Established
CUST-100021,Female,1,No,No,27,Yes,Fiber optic,One year,Yes,Electronic check,72.27,2007.88,Yes,1,72.27,867.24,72.27,25-48m,High,Established
CUST-100022,Male,0,Yes,No,14,Yes,DSL,Month-to-month,Yes,Credit card (automatic),101.38,1402.5,No,0,101.38,1216.56,0.0,13-24m,Premium,Developing
CUST-100023,Female,0,Yes,Yes,67,Yes,Fiber optic,One year,No,Electronic check,53.29,3534.77,No,0,53.29,639.48,0.0,49-72m,Mid,Loyal
CUST-100024,Male,0,No,No,57,Yes,Fiber optic,Two year,Yes,Mailed check,47.72,2715.28,No,0,47.72,572.64,0.0,49-72m,Mid,Loyal
CUST-100025,Male,0,Yes,No,47,Yes,Fiber optic,Month-to-month,No,Mailed check,92.47,4350.8,No,0,92.47,1109.6399999999999,0.0,25-48m,Premium,Established
CUST-100026,Female,0,Yes,No,29,No,DSL,Two year,No,Electronic check,52.45,1574.89,No,0,52.45,629.4000000000001,0.0,25-48m,Mid,Established
CUST-100027,Male,0,Yes,No,60,No,DSL,Two year,No,Bank transfer (automatic),99.71,5965.51,No,0,99.71,1196.52,0.0,49-72m,Premium,Loyal
CUST-100028,Male,0,No,Yes,40,Yes,Fiber optic,Two year,Yes,Mailed check,58.74,2318.66,No,0,58.74,704.88,0.0,25-48m,Mid,Established
CUST-100029,Female,0,Yes,Yes,32,Yes,Fiber optic,One year,No,Bank transfer (automatic),95.69,3021.14,No,0,95.69,1148.28,0.0,25-48m,Premium,Established
CUST-100030,Female,1,Yes,No,33,Yes,Fiber optic,One year,No,Mailed check,78.42,2572.37,No,0,78.42,941.04,0.0,25-48m,High,Established
CUST-100031,Male,0,No,Yes,17,Yes,Fiber optic,One year,No,Bank transfer (automatic),85.56,1554.52,Yes,1,85.56,1026.72,85.56,13-24m,Premium,Developing
CUST-100032,Male,0,No,No,7,Yes,Fiber optic,One year,No,Credit card (automatic),66.1,479.91,No,0,66.1,793.1999999999999,0.0,0-12m,High,Recent
